Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement, Articulated Truck Involvement,Speed Limit, National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week, Time of Day
20235013,WA,4,2023,Tuesday,10:52,Single,1,No,No,No,50,,,,,No,No,Weekday,Day
20235003,WA,4,2023,Sunday,8:45,Single,1,No,No,No,110,,,,,No,No,Weekend,Day
20235035,WA,4,2023,Wednesday,12:39,Single,1,No,Yes,No,80,,,,,No,No,Weekday,Day
20232060,VIC,4,2023,Monday,17:25,Multiple,1,No,No,No,60,Major Cities of Australia,Melbourne - Inner,Moonee Valley,Sub-arterial Road,No,No,Weekday,Day
20235020,WA,4,2023,Wednesday,11:23,Multiple,1,No,No,No,70,,,,,No,No,Weekday,Day
20235017,WA,4,2023,Monday,11:39,Single,1,No,No,No,70,,,,,No,Yes,Weekday,Day
20234014,SA,4,2023,Saturday,19:13,Single,1,No,No,No,80,Major Cities of Australia,Adelaide - South,Onkaparinga,Sub-arterial Road,No,No,Weekend,Night
20232040,VIC,4,2023,Saturday,0:21,Multiple,1,No,No,No,70,Major Cities of Australia,Melbourne - South East,Cardinia,National or State Highway,No,No,Weekend,Night
20232088,VIC,4,2023,Saturday,2:05,Multiple,1,No,No,No,60,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Sub-arterial Road,No,No,Weekend,Night
20234070,SA,4,2023,Friday,15:26,Single,1,No,No,No,60,Major Cities of Australia,Adelaide - North,Salisbury,Sub-arterial Road,No,No,Weekday,Day
20233080,QLD,4,2023,Thursday,9:00,Multiple,1,No,No,No,80,Inner Regional Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road,No,No,Weekday,Day
